5. Total Budget_analyse,6. Amount funded_analyse,6. Amount funded.1_analyse,9. Start date_analyse,10. End date_analyse
500000,300000,300000,2023-05-01,2025-05-01
5000000,2000000,2000000,2023-04-01,2026-04-01
50000000,20000000,20000000,2023-04-01,2028-04-01
192850,195820,195820,2023-04-01,2026-04-01
2119000,1055000,1055000,2023-03-01,2026-03-01
859670,852390,852390,2023-03-01,2025-03-01
10000000,10000000,10000000,2023-02-01,2024-02-01
185000,185000,0,2023-02-01,2026-06-12
30000,15000,15000,2023-01-01,2025-12-31
3950000,1710000,2240000,2023-01-01,2025-12-01
510000,200000,310000,2023-01-01,2027-12-01
2000000,1500000,1500000,2023-01-01,2025-12-01
17400,17400,17400,2022-12-01,2025-12-01
48000,18000,30000,2022-12-01,2027-12-01
100000,100000,0,2022-12-01,2023-12-01
400000,200000,200000,2022-12-01,2026-03-16
400000,200000,200000,2022-11-01,2027-11-01
38550000,5000000,5000000,2022-11-01,2027-11-01
11000000,2670000,2670000,2022-11-01,2027-11-01
400000,200000,200000,2022-11-01,2025-11-01
105,105,105,2022-11-01,2025-11-01
3000000,970000,970000,2022-11-01,2025-11-01
510,208,208,2022-10-01,2025-10-01
6,2,2,2022-10-01,2025-09-30
601,427,427,2022-09-01,2025-09-01
356,1,1,2022-08-01,2025-08-01
231,207,207,2022-08-01,2025-07-01
231,207,207,2022-08-01,2025-08-01
269,802420,802420,2022-08-01,2025-08-01
1134000,340200,340200,2022-08-01,2025-08-01
4000000,1150000,1150000,2022-08-01,2025-07-31
8800000,2410000,2410000,2022-08-01,2027-07-31
1017,455,455,2022-08-01,2025-07-01
244,158,158,2022-08-01,2025-08-01
534110,374870,374870,2022-07-01,2024-07-01
779950,779950,779950,2022-07-01,2025-07-01
190014,190014,0,2022-06-01,2027-06-01
155000,55000,100000,2022-06-01,2027-06-01
40000,30000,10000,2022-06-01,2025-06-01
155000,55000,100000,2022-06-01,2027-06-01
155000,55000,100000,2022-06-01,2025-06-01
155000,55000,100000,2022-05-01,2025-05-01
830250,868660,0,2022-05-01,2025-05-01
15000000,4400000,4400000,2022-05-01,2027-05-01
830250,868660,0,2022-05-01,2025-04-01
2000000,1700000,1700000,2022-05-01,2025-05-01
2000000,1000000,1000000,2022-04-01,2025-04-01
362,369,369,2022-04-01,2024-04-01
3200000,1080000,1080000,2022-04-01,2025-03-31
861790,1000000,1000000,2022-03-01,2025-03-01
5000000,5000000,0,2022-03-01,2025-03-01
5000000,5000000,0,2022-03-01,2025-03-01
2080800,778700,778700,2022-03-01,2027-03-01
22620,22620,22620,2022-03-01,2025-11-26
5000000,5000000,0,2022-03-01,2023-03-01
5000000,5000000,0,2022-02-01,2025-02-01
1125000,1125000,1125000,2022-02-01,2024-02-01
441000,141000,300000,2022-02-01,2023-02-01
275000,270000,270000,2022-02-01,2024-02-01
441000,141000,300000,2022-01-01,2024-12-01
1150000,870000,870000,2022-01-01,2023-12-01
311,308,308,2022-01-01,2024-12-01
441000,141000,300000,2022-01-01,2024-12-01
990000,500000,490000,2021-12-01,2026-12-01
10600,10000,600,2021-11-01,2024-11-01
102000,100000,2000,2021-11-01,2023-11-01
102000,100000,2000,2021-11-01,2024-11-01
102000,100000,2000,2021-11-01,2023-11-01
10000,10000,0,2021-11-01,2024-11-01
17470,17640,17640,2021-11-01,2021-12-31
370370,370370,0,2021-11-01,2022-11-01
149000,49000,100000,2021-11-01,2024-11-01
653000,653000,0,2021-11-01,2026-05-08
1901747,1921764,1921764,2021-11-01,2021-12-01
42900,429000,0,2021-11-01,2021-12-01
1000000,744720,744720,2021-11-01,2024-11-01
3060000,1960000,1960000,2021-11-01,2024-11-01
830000,600000,600000,2021-11-01,2024-10-31
14900,14900,0,2021-11-01,2023-11-01
10600,10000,600,2021-11-01,2023-11-01
70000,70000,70000,2021-10-01,2022-12-01
235000,235000,235000,2021-10-01,2024-10-01
102000,100000,2000,2021-10-01,2024-10-01
100000,500000,500000,2021-10-01,2024-10-01
4000000,3900000,100000,2021-10-01,2026-07-08
477920,334290,334290,2021-10-01,2023-10-01
3500000,1470000,1470000,2021-10-01,2024-10-01
1000000,1000000,1000000,2021-10-01,2025-02-19
4000000,3900000,3900000,2021-10-01,2024-10-01
170000,170000,170000,2021-09-01,2022-08-31
250000,135000,135000,2021-09-01,2024-08-31
12400,10500,2100,2021-09-01,2024-09-01
146000,150000,150000,2021-09-01,2023-09-01
165000,165000,165000,2021-09-01,2023-12-31
259000,139000,139000,2021-09-01,2023-09-01
996950,817980,817980,2021-09-01,2024-09-01
1180000,1000000,1000000,2021-09-01,2024-09-01
305000,103000,200000,2021-09-01,2024-08-01
6000000,3750000,3750000,2021-09-01,2024-09-01
1100000,900000,900000,2021-09-01,2023-08-31
98816,1,1,2021-09-01,2024-09-01
845170,901690,901690,2021-08-01,2025-10-31
6500000,1360000,1360000,2021-08-01,2024-07-31
1100000,1108000,1108000,2021-08-01,2024-07-31
150000,96000,54000,2021-07-01,2024-07-01
225,188,188,2021-07-01,2023-12-01
340,361,361,2021-07-01,2024-07-01
133610,133610,133610,2021-07-01,2024-06-30
3060000,3230000,3230000,2021-07-01,2024-07-01
420000,220000,200000,2021-07-01,2023-07-01
1800000,1150000,650000,2021-07-01,2024-07-01
3400000,3000000,400000,2021-07-01,2024-07-01
10000,1000,9000,2021-07-01,2024-07-01
115000,11500,0,2021-07-01,2024-12-31
45000,32000,12000,2021-06-01,2025-08-21
179000,163000,16000,2021-06-01,2024-06-01
472000,472000,472000,2021-05-01,2024-05-01
252000,182000,70000,2021-05-01,2023-05-01
750650,750650,0,2021-05-01,2024-05-01
235000,235000,0,2021-05-01,2023-05-01
4736400,4736400,0,2021-05-01,2024-04-30
4000000,2000000,2000000,2021-05-01,2023-12-31
650000,650000,0,2021-05-01,2024-05-01
7500000,7500000,7500000,2021-05-01,2024-04-30
24000,23000,1000,2021-04-01,2024-04-01
237650,237800,237800,2021-04-01,2024-04-01
1200000,1000000,1000000,2021-04-01,2024-04-01
17000000,17000000,17000000,2021-04-01,2024-04-01
15000000,6720000,6720000,2021-03-01,2025-06-19
877170,723000,723000,2021-03-01,2024-03-01
300000,200000,100000,2021-03-01,2023-03-01
500000,515000,515000,2021-02-01,2024-02-01
24700,24700,0,2021-02-01,2023-02-01
955950,870620,870620,2021-01-01,2023-12-01
19500,10000,9500,2021-01-01,2023-12-01
1100000,1000000,1000000,2021-01-01,2023-12-01
16300,16300,0,2020-12-01,2025-12-01
100000,0,100000,2020-12-01,2025-12-01
935008,935008,0,2020-12-01,2025-12-01
52000,32000,20000,2020-12-01,2023-12-01
237,216,216,2020-12-01,2023-12-01
889,911,911,2020-11-01,2023-11-01
197,183,183,2020-11-01,2023-11-01
30000000,16500000,16500000,2020-11-01,2023-11-01
10000000,10859000,10859000,2020-11-01,2023-11-01
2342000,2179000,2179000,2020-11-01,2025-11-01
1000000,1012956,1012956,2020-11-01,2023-11-01
30000000,16500000,16500000,2020-11-01,2023-11-01
591,319,319,2020-10-01,2025-10-01
153,160,160,2020-09-01,2023-09-01
2000000,2010000,2010000,2020-09-01,2023-09-01
629930,659580,659580,2020-08-01,2023-07-01
63300,33300,30000,2020-08-01,2025-07-01
11200000,5820000,5820000,2020-07-01,2023-07-01
35300,27300,8000,2020-07-01,2023-07-01
6700000,3300000,3300000,2020-07-01,2025-07-01
25300,22100,3200,2020-06-01,2023-12-31
1020000,1020000,1020000,2020-06-01,2025-10-08
8000000,8000000,8000000,2020-06-01,2023-06-01
382000,382000,0,2020-06-01,2024-06-01
1088889,1060776,1060776,2020-05-01,2023-05-01
1073000,935000,935000,2020-05-01,2023-05-01
12000000,9000000,9000000,2020-05-01,2025-05-01
12000000,9000000,9000000,2020-05-01,2025-05-01
75000,52000,23000,2020-05-01,2024-04-30
10000000,4000000,4000000,2020-03-01,2025-03-01
3075780,2274370,2274370,2020-03-01,2023-03-01
882,356,356,2020-03-01,2025-03-01
1140935,1118282,1118282,2020-02-01,2023-02-01
5000000,5000000,0,2020-01-01,2025-12-01
164500,164500,0,2019-12-01,2024-12-01
23470211,23470211,0,2019-12-01,2022-12-01
200000,100000,100000,2019-12-01,2024-12-01
100000,100000,0,2019-12-01,2024-12-01
100000,100000,0,2019-12-01,2026-03-24
27000,17000,10000,2019-12-01,2025-03-10
4730000,3190000,3190000,2019-12-01,2024-12-01
722350,744180,744180,2019-12-01,2021-12-01
3060000,2567600,2567600,2019-11-01,2024-11-01
3000000,2500000,2500000,2019-11-01,2024-11-01
2000000,1740000,1740000,2019-11-01,2022-12-31
41000,38000,380,2019-09-01,2024-09-01
1153115,1153115,0,2019-09-01,2026-01-19
3000000,2850000,2850000,2019-08-01,2024-07-31
328000,0,328000,2019-07-01,2025-04-21
22300,21200,11000,2019-07-01,2024-07-01
110000,10000,100000,2019-07-01,2024-07-01
12200,12000,200,2019-06-01,2024-06-01
7756689,7756689,0,2019-06-01,2023-06-01
18800,18800,0,2019-06-01,2022-06-01
712000,704000,8000,2019-04-01,2024-04-01
3198890,2975840,2975840,2019-03-01,2024-03-01
960000,959000,1000,2018-12-01,2023-12-01
25000000,23150000,23150000,2018-12-01,2023-12-01
408000,400000,8000,2018-12-01,2021-12-01
438000,437000,1000,2018-12-01,2023-12-01
6400000,5100000,5100000,2018-11-01,2023-11-01
726644,667593,667593,2018-11-01,2023-11-01
5013800,5013800,5013800,2018-11-01,2023-11-01
631567,531567,100000,2018-11-01,2025-12-01
3900000,3900000,3900000,2018-10-01,2023-10-01
530472,524466,524466,2018-09-01,2023-09-01
34300,30000,4300,2018-07-01,2023-07-01
898770,925140,925140,2018-01-01,2023-12-01
1141004,1141004,1141004,2017-12-01,2022-12-01
2600000,2600000,0,2017-08-01,2025-03-24
2410000,2390000,10000,2017-07-01,2022-07-01
20000000,19500000,500000,2016-07-01,2021-07-01
