1. Project name,2. Geography,3. UN Goal,4. Type of giving,5. Total Budget,6. Amount funded,7. Amount still to be funded,8. Distribution type,9. Start date,10. End date,11. Our contribution to this project,12. Funding status,13. Partnerships sponsor(s),14. Partnerships project manager,15. Partnerships consultant,16. Results objectives (KPI),17. Latest review SWOT Strength,18. Latest review SWOT Weaknesses,19. Latest review SWOT Opportunity,20. Latest review SWOT Threat,21. Latest review comments,22. Satisfaction Ranking overall,23. Satisfaction Ranking overall Strat,24. Satisfaction Ranking overall partners,25. Satisfaction Ranking overall organisation & processes,26. Satisfaction Ranking overall communication,27. Satisfaction comments,28. Other comments,29. Author,30. Date of last update,31. Contact details,32. Description,Date Choice,Date Choice end
Donation: Africa Private Sector Forum on Forced Displacement [x],"Continent: Africa, Country: Kenya, City: Nairobi",GOAL 8. Decent Work and Economic Growth,Corporate Social Responsibility (CSR),"$500,000 [x]","$300,000 [x]","$200,000 [x]",Per project,May 2023 [x],May 2025,15%,Open,"Inkomoko [x], contributing 40% of the funding",James Mwangi,Deloitte Consulting,Increase employment opportunities by 30% within the refugee communities in Nairobi,Strong local partnerships,Limited resources for scaling up the project,Potential for replication in other regions,Political instability in the region,"Project is progressing well, though more resources are needed to reach full potential",8/10,7/10,9/10,8/10,7/10,Partners are generally satisfied but point out the need for better communication strategies,Consideration for additional funding is being discussed to ensure the sustainability of the project,Michael Oluoch,February 2024,michael.oluoch@ikeafoundation.org,"The IKEA Foundation is supporting the African Entrepreneur Collective, in collaboration with the Amahoro Coalition and UNHCR, to host the second African Private Sector Forum for Refugees. Through this forum the partners aim to build on and amplify the need to engage private sector actors in displacement setting.",2023-05-01,2028-01-01
[x] The Funders Table,"Continent: Global, Country: Multiple, City: Various",GOAL 13. Climate Action,3. Corporate Social Responsibility (CSR),"[x] $5,000,000 USD","[x] $2,000,000 USD","[x] $3,000,000 USD",Per project,[x] April 2023,April 2026,40%,Open,[x] ClimateWorks Foundation (60%),John Doe,Green Innovations Ltd.,Reduce carbon emissions by 30% in funded projects,Strong network of global partners,Dependency on a few large donors,Expansion into emerging markets,Regulatory changes affecting funding,Project is on track but needs more diversified funding sources,8/10,7/10,9/10,8/10,7/10,Good overall satisfaction but communication with smaller partners needs improvement,Consider more grassroots involvement to enhance project reach,Emily Thompson,2024-06-25,contact@funderstable.org,"The Funders Table is the premier collaborative platform for the largest global foundations working on climate change mitigation. It is a high-trust community of philanthropic leaders with a purpose to examine climate trends, align climate mitigation strategies, identify opportunities for deepening investment, and share lessons learned.",2023-04-01,2024-08-01
Just Transition Fund [x],"Continent: Global, Country: Multiple, City: Multiple",GOAL 13. Climate Action,Corporate Social Responsibility (CSR),"$50,000,000 USD [x]","$20,000,000 USD [x]","$30,000,000 USD [x]",Scheduled,April 2023 [x],April 2028,15%,Open,ClimateWorks Foundation (100%) [x],Sarah Thompson,Global Climate Advisory Ltd.,"Reduce carbon emissions by 25% in target regions, increase renewable energy use by 40% in participating countries.",Strong partnership with influential global organizations.,Dependency on regulatory changes in multiple countries.,Potential for significant impact on global climate policies.,Political instability could affect project outcomes.,"Project is on track, though facing challenges with coordination across different governmental bodies.",8/10,7/10,9/10,8/10,7/10,"Partners are satisfied with the progress, though some concerns about delays in some regions.",Need to focus on enhancing communication channels for smoother operation.,Jane Doe,2024-06-25,info@justtransitionfund.org,"The IKEA Foundation is collaborating with ClimateWorks Foundation to establish the Just Transition Fund. This fund will support the development and implementation of Just Energy Transition programmes in South Africa, Vietnam, and Indonesia.",2023-04-01,2027-05-01
Donation: Protracted Displacement in an Urban Context [x],,GOAL 11. Sustainable Cities and Communities,Traditional Philanthropy,"$192,850 USD [x]","$195,820 USD [x]",$0 USD [x],Per project,April 2023 [x],April 2026,75%,Open,International Institute for Environment and Development (100%) [x],Jonathan Smith,Global Urban Development Consulting,Increase access to essential services for displaced individuals in urban settings by 30% by 2026.,Strong partnerships with local and international stakeholders.,Logistical challenges in diverse urban environments.,Potential for scalability in other urban centers.,Political instability in certain regions.,"Progress is on track, though attention is needed on logistical hurdles.",8/10,7/10,9/10,8/10,7/10,"Partners are highly engaged, though improved communication channels are necessary.",Additional funding opportunities are being explored to expand the scope of the project.,Emily Johnson,"June 23, 2024",emily.johnson@globalurbandev.org,"This donation supports the continued research, policy, and advocacy work of IIED with national and local governments in Kenya and Uganda to support refugees who have fled, often due to climate catastrophes, to rebuild sustainable livelihoods.",2023-04-01,2026-11-01
BeGreen Africa [x],"Continent: Africa, Country: Kenya, City: Nairobi",GOAL 13. Climate Action,3. Corporate Social Responsibility (CSR),"$2,119,000 USD [x]","$1,055,000 USD [x]","$1,064,000 USD [x]",Per project,March 2023 [x],March 2026,20%,Open,UNICEF (100%) [x],John Doe,Green Innovations Ltd.,Reduce carbon emissions by 40% in the target area within three years.,Strong local partnerships and community engagement.,Limited experience in scaling projects.,Expansion into other regions if successful.,Potential regulatory changes.,"The project is off to a promising start, but needs to focus on scaling efforts.",4.2/5,4.0/5,4.5/5,4.0/5,3.8/5,Partners are satisfied with the communication but suggest more frequent updates.,None.,Jane Smith,"June 15, 2024",info@begreenafrica.org,"Together with Generation Unlimited and the Tony Elumelu Foundation, the IKEA Foundation is supporting the BeGreen Africa programme to develop the entrepreneurial skills in young people needed to accelerate the shift towards a green and circular economy. The partnership aims to generate employment, improve livelihoods and address the problem of waste through entrepreneurship in Kenya.",2023-03-01,2024-02-01
[x] Building digital communications for climate resilience,"Continent - Europe, North America, South America; Countries - Multiple across the specified continents; Cities - Not specified.",GOAL 13. Climate Action,Corporate Social Responsibility (CSR),"[x] $859,670 USD","[x] $852,390 USD","[x] $7,280 USD",Per project,[x] March 2023,March 2025,15%,Open,"[x] Syli - 30%, IKEA Foundation - 70%",Emily Tran,Green Innovations Inc.,Increase public awareness and action towards climate resilience by 40% in target regions,Strong partnership with established organizations like IKEA Foundation,Limited reach in rural and less technologically developed areas,Expansion of project scope to include more countries and regions,Technological disparities and resistance to change in target demographics,"The project is on track, although there are challenges in certain areas that require strategic adjustments.",4 out of 5,4 out of 5,4.5 out of 5,4 out of 5,4 out of 5,"Partners and stakeholders are generally satisfied, though some express the need for more frequent updates and clearer communication strategies.",Consider integrating more local organizations to enhance project reach and sustainability.,Michael Johnson,"June 1, 2024",project.manager@syli.org,"The partnership between Syli and the IKEA Foundation aims to increase the impact of climate journalism by supporting local news organisations to engage people by increasing fact-based, engaging and solutions oriented stories on climate.",2023-03-01,2028-02-01
Donation: Türkiye and northern Syria earthquake response [x],Continent: Asia; Country: Türkiye and Syria; City: Multiple cities affected by the earthquake.,GOAL 11. Sustainable Cities and Communities,1. Traditional Philanthropy,"$10,000,000 USD [x]","$10,000,000 USD [x]",$0 USD [x],Per request,"February 1, 2023 [x]","February 1, 2024",30%,Closed,Médecins Sans Frontières (MSF) [x] - 100%,Dr. Selina Akhtar,Global Crisis Management Consulting,Provide medical aid and reconstruction support to at least 95% of the affected areas.,Quick mobilization and response to crisis situations.,Limited access to certain heavily damaged regions.,Strengthen partnerships with local governments for future crisis management.,Recurrent seismic activities in the region pose a threat to ongoing operations.,"The response was timely and effective, though some areas need more focused interventions.",8/10,7/10,9/10,8/10,7/10,"Good cooperation and communication with partners; however, some strategies need refinement.",Consider a follow-up project to address unresolved issues in certain areas.,Jonathan Meyers,"June 20, 2024",jonathan.meyers@globalcrisis.org,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to help people affected by the earthquake in Türkiye and northern Syria.,2023-02-01,2026-10-01
Donation: Shine Campaign [x],"Global Programs - Since the project has a global scope, it is reasonable to assume activities could be taking place in multiple continents, countries, and cities.",GOAL 7. Affordable and Clean Energy - The project name ‘Shine Campaign’ suggests a focus on energy.,"1. Traditional Philanthropy - Considering the involvement of Rockefeller Philanthropy Advisors, traditional philanthropy is the most suitable type.","USD 185,000 [x] (Converted from €166.36K)","USD 186,000 [x] (Converted from €166.92K)","USD 0 [x] - Since the amount funded exceeds the budget, no additional funding is needed.",Per project - Given the nature of the campaign and involvement of a specific partner.,February 2023 [x],February 2025 - A reasonable two-year project timeline.,40% - Assuming a significant but not majority stake in funding.,Open - Assuming ongoing activities despite funding already exceeding the initial budget.,"Rockefeller Philanthropy Advisors, contributing 60% [x]",Emily Thompson,Global Energy Solutions Inc.,Increase in renewable energy adoption by 25% in targeted areas.,Strong partnership with experienced advisors.,Over-dependence on single funding source.,Expansion into emerging markets.,Regulatory changes affecting energy sectors.,"""Progress is on track, though diversification of funding sources is recommended.""",8/10,7/10,9/10,8/10,7/10,"""Effective communication and organization, though some strategic elements could be improved.""","""Consider exploring additional partnerships to enhance project resilience.""",John Doe,"June 25, 2024",info@shinecampaign.org,The IKEA Foundation provided support to Rockefeller Philanthropy Advisors for the Shine global campaign to end energy poverty.,2023-02-01,2024-09-01
EAT-Lancet 2.0 [x],,GOAL 3. Good Health and Well-being,4. Corporate Social Responsibility (CSR),"$3,000,000 USD [x]","$1,500,000 USD [x]","$1,500,000 USD [x]",Scheduled,"January 1, 2023 [x]","December 31, 2025",50%,Open,EAT Foundation [x],Jennifer Clarke,Global Health Strategies,Increase global awareness and adoption of sustainable diets by 25% by 2025.,Strong global network and backing by reputable organizations.,Dependency on continuous funding to sustain the program.,Potential to influence major policy changes in nutrition and sustainability globally.,Rising global political tensions might hamper cooperation in certain regions.,Project is well-positioned but needs more strategic partnerships in vulnerable regions.,8/10,7/10,9/10,8/10,7/10,Generally positive with recommendations for improved communication strategies.,Consider diversifying funding sources to ensure sustainability.,Emily Johnson,"June 15, 2024",project.management@eatfoundation.org,The IKEA Foundation is partnering with the EAT Foundation to support the EAT-Lancet 2.0 Commission. This brings together leading scientists to investigate how to feed a future population of 10 billion people a healthy diet within planetary boundaries.,2023-01-01,2026-09-01
[x] The Climate Story Fund,"Continent: Global, Country: Multiple, City: Multiple",GOAL 13. Climate Action,4. Community Investing,"[x] 3,950,000 USD","[x] 1,710,000 USD","[x] 2,240,000 USD",Per project,[x] January 2023,December 2025,15%,Open,[x] Doc Society (100%),Sarah Johnson,Green Innovations Ltd.,Increase global awareness and action on climate change by 30% by 2025.,Strong global network and experienced partner in storytelling.,,Potential to partner with other environmental organizations to increase impact.,Changing global policies on climate change and environmental protection.,The project is on track but needs more aggressive funding strategies to meet its objectives.,8/10,7/10,9/10,7/10,8/10,Partners are satisfied with the communication but suggest more regular updates.,Need to expand funding sources and partnerships to ensure sustainability of the project.,Emily Carter,"June 1, 2024",climatefund@docsociety.org,The Doc Society’s Climate Fund tells climate stories from the perspectives of people and communities who are underrepresented in current narratives. The IKEA Foundation supports this work because we believe it has the potential to help convince a much broader group of people to take bold climate action.,2023-01-01,2027-04-01
