URL,Title,Description,Total Granted,Total Paid,Date Granted,Geographic Area,Partner
https://ikeafoundation.org/grants/donation-africa-private-sector-forum-on-forced-displacement-2023/,Donation: Africa Private Sector Forum on Forced Displacement 2023,"The IKEA Foundation is supporting the African Entrepreneur Collective, in collaboration with the Amahoro Coalition and UNHCR, to host the second African Private Sector Forum for Refugees. Through this forum the partners aim to build on and amplify the need to engage private sector actors in displacement setting.",N/A,N/A,May 2023,Africa (100%),Inkomoko
https://ikeafoundation.org/grants/renewal-support-for-the-funders-table-hosted-by-climateworks-foundation/,The Funders Table,"The Funders Table is the premier collaborative platform for the largest global foundations working on climate change mitigation. It is a high-trust community of philanthropic leaders with a purpose to examine climate trends, align climate mitigation strategies, identify opportunities for deepening investment, and share lessons learned.",N/A,N/A,April 2023,Global Programs (100%),ClimateWorks Foundation
https://ikeafoundation.org/grants/global-south-just-transition-fund/,Just Transition Fund,"The IKEA Foundation is collaborating with ClimateWorks Foundation to establish the Just Transition Fund. This fund will support the development and implementation of Just Energy Transition programmes in South Africa, Vietnam, and Indonesia.",N/A,N/A,April 2023,Global Programs (100%),ClimateWorks Foundation
https://ikeafoundation.org/grants/donation-protracted-displacement-in-an-urban-world-pduw-2023/,Donation: Protracted Displacement in an Urban World (PDUW) 2023,"This donation supports the continued research, policy, and advocacy work of IIED with national and local governments in Kenya and Uganda to support refugees who have fled, often due to climate catastrophes, to rebuild sustainable livelihoods.","€
                        192.85K€
                            195.82K","€
                            195.82K",April 2023,Global Programs (100%),International Institute for Environment and Development
https://ikeafoundation.org/grants/begreen-africa-from-waste-to-wealth-in-kenya/,BeGreen Africa,"Together with Generation Unlimited and the Tony Elumelu Foundation, the IKEA Foundation is supporting the BeGreen Africa programme to develop the entrepreneurial skills in young people needed to accelerate the shift towards a green and circular economy. The partnership aims to generate employment, improve livelihoods and address the problem of waste through entrepreneurship in Kenya.","€
                        1.90M€
                            947.51K","€
                            947.51K",March 2023,Kenya (100%),UNICEF
https://ikeafoundation.org/grants/building-digital-communications-for-climate-reporting/,Building digital communications for climate reporting,"The partnership between Syli and the IKEA Foundation aims to increase the impact of climate journalism by supporting local news organisations to engage people by increasing fact-based, engaging and solutions oriented stories on climate.","€
                        859.67K€
                            852.39K","€
                            852.39K",March 2023,Europe (20%)North America (20%)South America (20%)Southeastern Asia (20%)Southern Asia (20%),Syli
https://ikeafoundation.org/grants/emergency-grant-better-shelter-for-turkiye-syria-earthquake-response/,Donation: Türkiye and northern Syria earthquake response,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to help people affected by the earthquake in Türkiye and northern Syria.,"€
                        10M€
                            10M","€
                            10M",February 2023,Global Programs (100%),Médecins Sans Frontières (MSF)
https://ikeafoundation.org/grants/donation-better-shelter-for-turkiye-syria-earthquake-response/,Donation: Better Shelter for Türkiye-Syria earthquake response,"The IKEA Foundation supported Better Shelter to respond to the 2023 earthquake in southern Türkiye and northern Syria. With this support, Better Shelter donated 5,000 units to affected areas, providing people temporary housing solutions, receptions centres, health facilities and facilities for education.","€
                        10M€
                            10M","€
                            10M",February 2023,Global Programs (100%),Better Shelter
https://ikeafoundation.org/grants/donation-shine-campaign/,Donation: Shine Campaign,The IKEA Foundation provided support to Rockefeller Philanthropy Advisors for the Shine global campaign to end energy poverty.,"€
                        166.36K€
                            166.92K","€
                            166.92K",February 2023,Global Programs (100%),Rockefeller Philanthropy Advisors
https://ikeafoundation.org/grants/eat-lancet-2-0/,EAT-Lancet 2.0,The IKEA Foundation is partnering with the EAT Foundation to support the EAT-Lancet 2.0 Commission. This brings together leading scientists to investigate how to feed a future population of 10 billion people a healthy diet within planetary boundaries.,"€
                        3M€
                            1.50M","€
                            1.50M",January 2023,Global Programs (100%),EAT Foundation
https://ikeafoundation.org/grants/renewal-the-climate-story-fund/,The Climate Story Fund,The Doc Society’s Climate Fund tells climate stories from the perspectives of people and communities who are underrepresented in current narratives. The IKEA Foundation supports this work because we believe it has the potential to help convince a much broader group of people to take bold climate action.,"€
                        3.95M€
                            1.71M","€
                            1.71M",January 2023,Global Programs (100%),Doc Society
https://ikeafoundation.org/grants/advancing-root-capitals-climate-resilience-roadmap-leveraging-learnings-and-progress-to-drive-impact-in-east-africa/,Climate Resilience Roadmap,"The IKEA Foundation is supporting Root Capital to provide small agri-businesses in East Africa with finance and business management skills to help them adapt to climate change. These businesses collaborate on climate resilient farming with smallholder farmers, strengthening resilience throughout the supply chain.","€
                        5.10M€
                            1.68M","€
                            1.68M",January 2023,Democratic Republic of the Congo (16%)Kenya (41%)Rwanda (24%)Uganda (19%),Root Capital
https://ikeafoundation.org/grants/economic-inclusion-as-a-pathway-to-self-relianace/,Economic inclusion as a pathway to self-reliance,"The IKEA Foundation and the Norwegian Refugee Council are partnering to help forcibly displaced people and their host communities in Kenya and South Sudan to improve their livelihoods and self-reliance, while gathering evidence of what works.","€
                        1.90M€
                            1.38M","€
                            1.38M",January 2023,Eastern Africa (55%)Kenya (45%),Norwegian Refugee Council
https://ikeafoundation.org/grants/scaling-standardized-climate-and-sustainability-disclosure/,Scaling standardized climate and sustainability disclosure,The IKEA Foundation supports the work of the IFRS Foundation’s International Sustainability Standards Board to develop global standards for companies’ disclosure of sustainability-related risks and opportunities to help investors make informed decisions.,"€
                        2.33M€
                            1.74M","€
                            1.74M",December 2022,Global Programs (100%),IFRS Foundation
https://ikeafoundation.org/grants/powering-health/,Powering Health,"The IKEA Foundation is supporting SELCO to integrate sustainable energy solutions, efficient equipment and energy design elements into 25,000 health care facilities across India by 2026.","€
                        48M€
                            19.80M","€
                            19.80M",December 2022,India (100%),SELCO Foundation
https://ikeafoundation.org/grants/donation-uganda-ebola-emergency-support/,Donation: Uganda Ebola emergency support,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to prevent increased Ebola incidence across Uganda.,"€
                        1M€
                            1M","€
                            1M",December 2022,Uganda (100%),Médecins Sans Frontières (MSF)
https://ikeafoundation.org/grants/donation-uganda-ebola-emergency-support/,Donation: Uganda Ebola emergency support,The IKEA Foundation provided an exceptional donation to the Médicins Sans Frontières emergency fund for their operations to prevent increased Ebola incidence across Uganda.,"€
                        1M€
                            1M","€
                            1M",December 2022,Uganda (100%),Médecins Sans Frontières (MSF)
https://ikeafoundation.org/grants/sustainable-market-inclusive-livelihood-pathways-to-self-reliance-smiles/,Sustainable Market Inclusive Livelihood Pathways to Self-Reliance (SMILES),"AVSI Foundation and the IKEA Foundation work with refugees and host-community households in the Kyangwali and the Kyaka II Refugee Settlements in Uganda, delivering sustainable livelihoods through two simultaneous strategies: an ongoing individual-upliftment graduation model integrated with a market system development approach. Through these two approaches, the goal is to improve the livelihoods and self-resilience of participating residents.","€
                        25M€
                            9.61M","€
                            9.61M",November 2022,Africa (100%),AVSI Foundation
https://ikeafoundation.org/grants/renewal-for-clean-air-fund/,Clean Air Fund,The IKEA Foundation is partnering with the Clean Air Fund to improve the health of children and adults by tackling air pollution and accelerating climate action.,"€
                        38.55M€
                            5M","€
                            5M",November 2022,Africa (20%)Asia (20%)Europe (25%)Global Programs (35%),Clean Air Fund
https://ikeafoundation.org/grants/displaced-livelihoods-initiative-evidence-for-sustainable-solutions-to-displacement/,Displaced Livelihoods Initiative,The IKEA Foundation is supporting Innovations for Poverty Action (IPA) and the Abdul Latif Jameel Poverty Action Lab (J-PAL) to create the world’s first dedicated research fund that will generate evidence on livelihoods interventions for displaced populations.,"€
                        9.61M€
                            2.33M","€
                            2.33M",November 2022,Global Programs (100%),Innovations for Poverty Action
https://ikeafoundation.org/grants/from-waste-to-work/,From Waste to Work,"In Kenya, a large amount of waste that could be recycled goes to landfills, where it emits high levels of methane. Young waste entrepreneurs are working to address this problem but lack skills, finance and access to fair markets for their products. Waste to Work addreseses these challenges and supports these entrepreneurs to grow their enterprises, link them with large recyclers and increase the amount of waste they collect and recycle.","€
                        3.73M€
                            2M","€
                            2M",November 2022,Kenya (100%),VSO Nederland
https://ikeafoundation.org/grants/refugee-led-research-hub-nairobi/,Refugee-led Research Hub Nairobi,The partnership between the University of Oxford and the IKEA Foundation supports East African researchers with lived experiences of displacement to become leaders in the field of refugee and forced migration studies.,"€
                        1.05M€
                            1.05M","€
                            1.05M",November 2022,Kenya (100%),University of Oxford
https://ikeafoundation.org/grants/self-reliance-and-resilience-for-refugees-and-host-communities-in-uganda/,Self-reliance and resilience for refugees and host communities in Uganda,"UNHCR, the UN Refugee Agency, and the IKEA Foundation are working together in Uganda to help people forced to flee and their host communities build sustainable livelihoods and advocate for refugees’ rights to be applied.","€
                        2.68M€
                            870.54K","€
                            870.54K",November 2022,Uganda (100%),"UNHCR, the UN Refugee Agency"
https://ikeafoundation.org/grants/scaling-regenerative-black-soldier-fly-farming-along-with-vegetable-push-pull-cropping-systems-in-rural-kenya-rwanda-and-uganda/,"Scaling regenerative black soldier fly farming along with vegetable push-pull cropping systems in rural Kenya, Rwanda and Uganda","ICIPE and the IKEA Foundation are scaling up two insect-based farming methods to help smallholder farmers in Kenya, Uganda and Rwanda improve both their health and livelihoods, while avoiding fertilisers and pesticides that harm the planet.","€
                        5.10M€
                            2.08M","€
                            2.08M",October 2022,Kenya (37%)Rwanda (28%)Uganda (35%),International Centre of Insect Physiology and Ecology
https://ikeafoundation.org/grants/reduce-reuse-recycle-rice-initiative-for-climate-smart-agriculture-phase-twor4icsa-ii/,"Reduce, Reuse, Recycle Rice Initiative for Climate Smart Agriculture Phase Two (R4iCSA-II)",The IKEA Foundation is partnering with Kilimo Trust to support rice farmers in Kenya and Uganda to transition to regenerative rice farming methods that can improve their livelihoods while restoring and protecting the environment.,"€
                        5.54M€
                            1.74M","€
                            1.74M",October 2022,Kenya (50%)Uganda (50%),Kilimo Trust
https://ikeafoundation.org/grants/regen10/,Regen10,"The IKEA Foundation is partnering with Regen10 to identify what it takes to shift to regenerative approaches, develop a common outcomes framework and speed up the transformation of global food systems, so food is produced in ways that benefit people, nature and the climate.","€
                        6.01M€
                            4.27M","€
                            4.27M",September 2022,Global Programs (100%),Regen10
https://ikeafoundation.org/grants/financial-inclusion-improves-livelihoods-out-of-plastics-finiloop/,Financial Inclusion Improves Livelihoods Out Of Plastics (FINILOOP),The IKEA Foundation is partnering with WASTE to support three cities in India to increase plastic recycling rates while creating sustainable livelihoods for informal waste workers.,"€
                        3.56M€
                            1M","€
                            1M",August 2022,Asia (100%),WASTE
https://ikeafoundation.org/grants/green-for-access-first-loss-facility/,Green for Access First Loss Facility,The IKEA Foundation is supporting CLASP to unlock local financing for renewable energy companies in Africa and their customers. This will empower people on low incomes to invest in solar appliances that can make their livelihoods more productive and enhance access to healthcare.,"€
                        2.31M€
                            2.07M","€
                            2.07M",August 2022,Eastern Africa (100%),CLASP
https://ikeafoundation.org/grants/green-for-access-first-loss-facility/,Green for Access First Loss Facility,The IKEA Foundation is supporting CLASP to unlock local financing for renewable energy companies in Africa and their customers. This will empower people on low incomes to invest in solar appliances that can make their livelihoods more productive and enhance access to healthcare.,"€
                        2.31M€
                            2.07M","€
                            2.07M",August 2022,Eastern Africa (100%),CLASP
https://ikeafoundation.org/grants/accelerating-climate-action-on-boards/,Accelerating climate action on boards,"The IKEA Foundation’s partnership with the Centre for Climate Engagement at Hughes Hall, University of Cambridge will empower company directors to steer their corporations to take effective climate action.","€
                        2.69M€
                            802.42K","€
                            802.42K",August 2022,Global Programs (100%),Centre for Climate Engagement
https://ikeafoundation.org/grants/the-power-of-business-as-a-change-agent-for-childrens-rights/,The power of business as a change agent for children’s rights,The Global Child Forum and the IKEA Foundation are supporting businesses to put children’s rights at the heart of their operations and to protect and promote these rights in their communities.,"€
                        1M€
                            300K","€
                            300K",August 2022,Global Programs (100%),Global Child Forum
